gene_id,logFC.diagBPD...diagCTL,logFC.diagMDD...diagCTL,logFC.diagSCZ...diagCTL,logCPM,F,PValue,FDR
ENSG00000187951,0.27663974335876174,3.240863133673606,0.13527732509028714,1.756549732584209,28.13680930035398,3.554371730428725e-13,8.225882495731198e-9
ENSG00000174576,3.4387741820023114,-0.6611434151330532,-0.35602429979369576,4.588287905586308,22.816579091849235,2.9255244615190215e-11,2.9598558564327543e-7
ENSG00000266677,2.6780632889289286,0.17962982579793974,0.6488132919625635,0.8130104153304393,22.50472883556463,3.8368265001504835e-11,2.9598558564327543e-7
ENSG00000230916,-3.902081978833006,-3.7025879973740925,-2.6150416890775756,0.26675779978723013,20.43454538008167,2.4129204569007704e-10,1.3960554533513632e-6
ENSG00000262902,-1.3076027063969453,-1.3185652206809322,1.7773615464806412,2.9402590249656675,15.652526950275336,2.22963570407176e-8,1.0320091819866548e-4
ENSG00000246250,1.6394311202027483,-0.19534445393443634,0.6355207214444388,-0.7244701310868,14.921208431327798,4.6246586828601256e-8,1.7531819118067664e-4
ENSG00000229344,3.4137143926796614,0.39879957625298046,2.8681881365225785,3.83867714541425,14.767199560157174,5.399943444154407e-8,1.7531819118067664e-4
ENSG00000112619,-0.6034335952056974,0.40488636585249427,-0.5487076769687833,2.722639138382381,14.652853216393575,6.060344507822724e-8,1.7531819118067664e-4
ENSG00000261668,0.8729058898450095,0.20559866730513474,2.2080582117567245,-0.6659714155560903,14.251066193297964,9.109022272632435e-8,2.342334471728138e-4
ENSG00000234899,0.4136537930035538,-0.04550895111858097,0.42875067797655503,1.448766920830884,13.50192675831134,1.9645510345616409e-7,4.3077770261503844e-4
ENSG00000073756,1.5924181635767534,-0.19399515518576352,-0.23470117633548057,3.0667145436540006,13.461929817815532,2.0475110092751254e-7,4.3077770261503844e-4
ENSG00000213363,2.097394715196339,0.5082182711508858,1.9646672703074484,-0.9626028214823656,13.141060065074793,2.856650021986246e-7,5.509287621568974e-4
